# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2023-02-21 02:09:34 -05:00	(natwebsdas01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11312676 MIDDLE R AT MIDDLE RIVER CA
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 11312676
#    TS_ID       Parameter Description
#    257812      00480     Salinity, water, unfiltered, parts per thousand
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	257812_00480	257812_00480_cd
USGS	11312676	2023-02-14 06:15	PST	0.2	P
USGS	11312676	2023-02-14 06:30	PST	0.2	P
USGS	11312676	2023-02-14 06:45	PST	0.2	P
USGS	11312676	2023-02-14 07:00	PST	0.2	P
USGS	11312676	2023-02-14 07:15	PST	0.2	P
USGS	11312676	2023-02-14 07:30	PST	0.2	P
USGS	11312676	2023-02-14 07:45	PST	0.2	P
USGS	11312676	2023-02-14 08:00	PST	0.2	P
USGS	11312676	2023-02-14 08:15	PST	0.2	P
USGS	11312676	2023-02-14 08:30	PST	0.1	P
USGS	11312676	2023-02-14 08:45	PST	0.1	P
USGS	11312676	2023-02-14 09:00	PST	0.1	P
USGS	11312676	2023-02-14 09:15	PST	0.1	P
USGS	11312676	2023-02-14 09:30	PST	0.1	P
USGS	11312676	2023-02-14 09:45	PST	0.1	P
USGS	11312676	2023-02-14 10:00	PST	0.1	P
USGS	11312676	2023-02-14 10:15	PST	0.1	P
USGS	11312676	2023-02-14 10:30	PST	0.1	P
USGS	11312676	2023-02-14 10:45	PST	0.1	P
USGS	11312676	2023-02-14 11:00	PST	0.1	P
USGS	11312676	2023-02-14 11:15	PST	0.1	P
USGS	11312676	2023-02-14 11:30	PST	0.1	P
USGS	11312676	2023-02-14 11:45	PST	0.1	P
USGS	11312676	2023-02-14 12:00	PST	0.1	P
USGS	11312676	2023-02-14 12:15	PST	0.1	P
USGS	11312676	2023-02-14 12:30	PST	0.1	P
USGS	11312676	2023-02-14 12:45	PST	0.1	P
USGS	11312676	2023-02-14 13:00	PST	0.1	P
USGS	11312676	2023-02-14 13:15	PST	0.1	P
USGS	11312676	2023-02-14 13:30	PST	0.2	P
USGS	11312676	2023-02-14 13:45	PST	0.2	P
USGS	11312676	2023-02-14 14:00	PST	0.2	P
USGS	11312676	2023-02-14 14:15	PST	0.2	P
USGS	11312676	2023-02-14 14:30	PST	0.2	P
USGS	11312676	2023-02-14 14:45	PST	0.2	P
USGS	11312676	2023-02-14 15:00	PST	0.2	P
USGS	11312676	2023-02-14 15:15	PST	0.1	P
USGS	11312676	2023-02-14 15:30	PST	0.1	P
USGS	11312676	2023-02-14 15:45	PST	0.1	P
USGS	11312676	2023-02-14 16:00	PST	0.2	P
USGS	11312676	2023-02-14 16:15	PST	0.1	P
USGS	11312676	2023-02-14 16:30	PST	0.2	P
USGS	11312676	2023-02-14 16:45	PST	0.1	P
USGS	11312676	2023-02-14 17:00	PST	0.1	P
USGS	11312676	2023-02-14 17:15	PST	0.2	P
USGS	11312676	2023-02-14 17:30	PST	0.2	P
USGS	11312676	2023-02-14 17:45	PST	0.2	P
USGS	11312676	2023-02-14 18:00	PST	0.2	P
USGS	11312676	2023-02-14 18:15	PST	0.1	P
USGS	11312676	2023-02-14 18:30	PST	0.1	P
USGS	11312676	2023-02-14 18:45	PST	0.1	P
USGS	11312676	2023-02-14 19:00	PST	0.1	P
USGS	11312676	2023-02-14 19:15	PST	0.1	P
USGS	11312676	2023-02-14 19:30	PST	0.1	P
USGS	11312676	2023-02-14 19:45	PST	0.1	P
USGS	11312676	2023-02-14 20:00	PST	0.1	P
USGS	11312676	2023-02-14 20:15	PST	0.1	P
USGS	11312676	2023-02-14 20:30	PST	0.1	P
USGS	11312676	2023-02-14 20:45	PST	0.1	P
USGS	11312676	2023-02-14 21:00	PST	0.1	P
USGS	11312676	2023-02-14 21:15	PST	0.1	P
USGS	11312676	2023-02-14 21:30	PST	0.1	P
USGS	11312676	2023-02-14 21:45	PST	0.1	P
USGS	11312676	2023-02-14 22:00	PST	0.2	P
USGS	11312676	2023-02-14 22:15	PST	0.2	P
USGS	11312676	2023-02-14 22:30	PST	0.2	P
USGS	11312676	2023-02-14 22:45	PST	0.2	P
USGS	11312676	2023-02-14 23:00	PST	0.2	P
USGS	11312676	2023-02-14 23:15	PST	0.2	P
USGS	11312676	2023-02-14 23:30	PST	0.2	P
USGS	11312676	2023-02-14 23:45	PST	0.2	P
USGS	11312676	2023-02-15 00:00	PST	0.2	P
USGS	11312676	2023-02-15 00:15	PST	0.2	P
USGS	11312676	2023-02-15 00:30	PST	0.2	P
USGS	11312676	2023-02-15 00:45	PST	0.2	P
USGS	11312676	2023-02-15 01:00	PST	0.2	P
USGS	11312676	2023-02-15 01:15	PST	0.2	P
USGS	11312676	2023-02-15 01:30	PST	0.2	P
USGS	11312676	2023-02-15 01:45	PST	0.2	P
USGS	11312676	2023-02-15 02:00	PST	0.2	P
USGS	11312676	2023-02-15 02:15	PST	0.2	P
USGS	11312676	2023-02-15 02:30	PST	0.2	P
USGS	11312676	2023-02-15 02:45	PST	0.2	P
USGS	11312676	2023-02-15 03:00	PST	0.2	P
USGS	11312676	2023-02-15 03:15	PST	0.2	P
USGS	11312676	2023-02-15 03:30	PST	0.2	P
USGS	11312676	2023-02-15 03:45	PST	0.2	P
USGS	11312676	2023-02-15 04:00	PST	0.2	P
USGS	11312676	2023-02-15 04:15	PST	0.2	P
USGS	11312676	2023-02-15 04:30	PST	0.2	P
USGS	11312676	2023-02-15 04:45	PST	0.2	P
USGS	11312676	2023-02-15 05:00	PST	0.2	P
USGS	11312676	2023-02-15 05:15	PST	0.2	P
USGS	11312676	2023-02-15 05:30	PST	0.2	P
USGS	11312676	2023-02-15 05:45	PST	0.2	P
USGS	11312676	2023-02-15 06:00	PST	0.2	P
USGS	11312676	2023-02-15 06:15	PST	0.2	P
USGS	11312676	2023-02-15 06:30	PST	0.2	P
USGS	11312676	2023-02-15 06:45	PST	0.2	P
USGS	11312676	2023-02-15 07:00	PST	0.2	P
USGS	11312676	2023-02-15 07:15	PST	0.2	P
USGS	11312676	2023-02-15 07:30	PST	0.2	P
USGS	11312676	2023-02-15 07:45	PST	0.2	P
USGS	11312676	2023-02-15 08:00	PST	0.2	P
USGS	11312676	2023-02-15 08:15	PST	0.2	P
USGS	11312676	2023-02-15 08:30	PST	0.2	P
USGS	11312676	2023-02-15 08:45	PST	0.2	P
USGS	11312676	2023-02-15 09:00	PST	0.2	P
USGS	11312676	2023-02-15 09:15	PST	0.2	P
USGS	11312676	2023-02-15 09:30	PST	0.2	P
USGS	11312676	2023-02-15 09:45	PST	0.2	P
USGS	11312676	2023-02-15 10:00	PST	0.2	P
USGS	11312676	2023-02-15 10:15	PST	0.2	P
USGS	11312676	2023-02-15 10:30	PST	0.2	P
USGS	11312676	2023-02-15 10:45	PST	0.1	P
USGS	11312676	2023-02-15 11:00	PST	0.1	P
USGS	11312676	2023-02-15 11:15	PST	0.1	P
USGS	11312676	2023-02-15 11:30	PST	0.1	P
USGS	11312676	2023-02-15 11:45	PST	0.1	P
USGS	11312676	2023-02-15 12:00	PST	0.1	P
USGS	11312676	2023-02-15 12:15	PST	0.1	P
USGS	11312676	2023-02-15 12:30	PST	0.1	P
USGS	11312676	2023-02-15 12:45	PST	0.1	P
USGS	11312676	2023-02-15 13:00	PST	0.1	P
USGS	11312676	2023-02-15 13:15	PST	0.1	P
USGS	11312676	2023-02-15 13:30	PST	0.1	P
USGS	11312676	2023-02-15 13:45	PST	0.1	P
USGS	11312676	2023-02-15 14:00	PST	0.1	P
USGS	11312676	2023-02-15 14:15	PST	0.1	P
USGS	11312676	2023-02-15 14:30	PST	0.2	P
USGS	11312676	2023-02-15 14:45	PST	0.2	P
USGS	11312676	2023-02-15 15:00	PST	0.1	P
USGS	11312676	2023-02-15 15:15	PST	0.2	P
USGS	11312676	2023-02-15 15:30	PST	0.2	P
USGS	11312676	2023-02-15 15:45	PST	0.1	P
USGS	11312676	2023-02-15 16:00	PST	0.1	P
USGS	11312676	2023-02-15 16:15	PST	0.1	P
USGS	11312676	2023-02-15 16:30	PST	0.1	P
USGS	11312676	2023-02-15 16:45	PST	0.1	P
USGS	11312676	2023-02-15 17:00	PST	0.1	P
USGS	11312676	2023-02-15 17:15	PST	0.1	P
USGS	11312676	2023-02-15 17:30	PST	0.1	P
USGS	11312676	2023-02-15 17:45	PST	0.1	P
USGS	11312676	2023-02-15 18:00	PST	0.1	P
USGS	11312676	2023-02-15 18:15	PST	0.2	P
USGS	11312676	2023-02-15 18:30	PST	0.2	P
USGS	11312676	2023-02-15 18:45	PST	0.2	P
USGS	11312676	2023-02-15 19:00	PST	0.2	P
USGS	11312676	2023-02-15 19:15	PST	0.1	P
USGS	11312676	2023-02-15 19:30	PST	0.1	P
USGS	11312676	2023-02-15 19:45	PST	0.1	P
USGS	11312676	2023-02-15 20:00	PST	0.1	P
USGS	11312676	2023-02-15 20:15	PST	0.1	P
USGS	11312676	2023-02-15 20:30	PST	0.1	P
USGS	11312676	2023-02-15 20:45	PST	0.1	P
USGS	11312676	2023-02-15 21:00	PST	0.1	P
USGS	11312676	2023-02-15 21:15	PST	0.1	P
USGS	11312676	2023-02-15 21:30	PST	0.1	P
USGS	11312676	2023-02-15 21:45	PST	0.1	P
USGS	11312676	2023-02-15 22:00	PST	0.1	P
USGS	11312676	2023-02-15 22:15	PST	0.1	P
USGS	11312676	2023-02-15 22:30	PST	0.1	P
USGS	11312676	2023-02-15 22:45	PST	0.1	P
USGS	11312676	2023-02-15 23:00	PST	0.2	P
USGS	11312676	2023-02-15 23:15	PST	0.2	P
USGS	11312676	2023-02-15 23:30	PST	0.2	P
USGS	11312676	2023-02-15 23:45	PST	0.2	P
USGS	11312676	2023-02-16 00:00	PST	0.2	P
USGS	11312676	2023-02-16 00:15	PST	0.2	P
USGS	11312676	2023-02-16 00:30	PST	0.2	P
USGS	11312676	2023-02-16 00:45	PST	0.2	P
USGS	11312676	2023-02-16 01:00	PST	0.2	P
USGS	11312676	2023-02-16 01:15	PST	0.2	P
USGS	11312676	2023-02-16 01:30	PST	0.2	P
USGS	11312676	2023-02-16 01:45	PST	0.2	P
USGS	11312676	2023-02-16 02:00	PST	0.2	P
USGS	11312676	2023-02-16 02:15	PST	0.2	P
USGS	11312676	2023-02-16 02:30	PST	0.2	P
USGS	11312676	2023-02-16 02:45	PST	0.2	P
USGS	11312676	2023-02-16 03:00	PST	0.2	P
USGS	11312676	2023-02-16 03:15	PST	0.2	P
USGS	11312676	2023-02-16 03:30	PST	0.2	P
USGS	11312676	2023-02-16 03:45	PST	0.2	P
USGS	11312676	2023-02-16 04:00	PST	0.2	P
USGS	11312676	2023-02-16 04:15	PST	0.2	P
USGS	11312676	2023-02-16 04:30	PST	0.2	P
USGS	11312676	2023-02-16 04:45	PST	0.2	P
USGS	11312676	2023-02-16 05:00	PST	0.2	P
USGS	11312676	2023-02-16 05:15	PST	0.2	P
USGS	11312676	2023-02-16 05:30	PST	0.2	P
USGS	11312676	2023-02-16 05:45	PST	0.2	P
USGS	11312676	2023-02-16 06:00	PST	0.2	P
USGS	11312676	2023-02-16 06:15	PST	0.2	P
USGS	11312676	2023-02-16 06:30	PST	0.2	P
USGS	11312676	2023-02-16 06:45	PST	0.2	P
USGS	11312676	2023-02-16 07:00	PST	0.2	P
USGS	11312676	2023-02-16 07:15	PST	0.2	P
USGS	11312676	2023-02-16 07:30	PST	0.2	P
USGS	11312676	2023-02-16 07:45	PST	0.2	P
USGS	11312676	2023-02-16 08:00	PST	0.2	P
USGS	11312676	2023-02-16 08:15	PST	0.2	P
USGS	11312676	2023-02-16 08:30	PST	0.2	P
USGS	11312676	2023-02-16 08:45	PST	0.1	P
USGS	11312676	2023-02-16 09:00	PST	0.1	P
USGS	11312676	2023-02-16 09:15	PST	0.1	P
USGS	11312676	2023-02-16 09:30	PST	0.1	P
USGS	11312676	2023-02-16 09:45	PST	0.1	P
USGS	11312676	2023-02-16 10:00	PST	0.1	P
