# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2023-02-22 22:48:39 -05:00	(natwebsdas01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11312676 MIDDLE R AT MIDDLE RIVER CA
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 11312676
#    TS_ID       Parameter Description
#    313508      99133     Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen, [(2)]
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#     <  Actual value is known to be less than reported value.
#
agency_cd	site_no	datetime	tz_cd	313508_99133	313508_99133_cd
USGS	11312676	2023-02-15 20:45	PST	1.13	P
USGS	11312676	2023-02-15 21:00	PST	1.13	P
USGS	11312676	2023-02-15 21:15	PST	1.13	P
USGS	11312676	2023-02-15 21:30	PST	1.14	P
USGS	11312676	2023-02-15 21:45	PST	1.14	P
USGS	11312676	2023-02-15 22:00	PST	1.15	P
USGS	11312676	2023-02-15 22:15	PST	1.14	P
USGS	11312676	2023-02-15 22:30	PST	1.14	P
USGS	11312676	2023-02-15 22:45	PST	1.19	P
USGS	11312676	2023-02-15 23:00	PST	1.21	P
USGS	11312676	2023-02-15 23:15	PST	1.23	P
USGS	11312676	2023-02-15 23:30	PST	1.22	P
USGS	11312676	2023-02-15 23:45	PST	1.21	P
USGS	11312676	2023-02-16 00:00	PST	1.22	P
USGS	11312676	2023-02-16 00:15	PST	1.23	P
USGS	11312676	2023-02-16 00:30	PST	1.24	P
USGS	11312676	2023-02-16 00:45	PST	1.24	P
USGS	11312676	2023-02-16 01:00	PST	1.25	P
USGS	11312676	2023-02-16 01:15	PST	1.25	P
USGS	11312676	2023-02-16 01:30	PST	1.25	P
USGS	11312676	2023-02-16 01:45	PST	1.25	P
USGS	11312676	2023-02-16 02:00	PST	1.25	P
USGS	11312676	2023-02-16 02:15	PST	1.25	P
USGS	11312676	2023-02-16 02:30	PST	1.24	P
USGS	11312676	2023-02-16 02:45	PST	1.24	P
USGS	11312676	2023-02-16 03:00	PST	1.24	P
USGS	11312676	2023-02-16 03:15	PST	1.23	P
USGS	11312676	2023-02-16 03:30	PST	1.23	P
USGS	11312676	2023-02-16 03:45	PST	1.23	P
USGS	11312676	2023-02-16 04:00	PST	1.22	P
USGS	11312676	2023-02-16 04:15	PST	1.22	P
USGS	11312676	2023-02-16 04:30	PST	1.22	P
USGS	11312676	2023-02-16 04:45	PST	1.21	P
USGS	11312676	2023-02-16 05:00	PST	1.21	P
USGS	11312676	2023-02-16 05:15	PST	1.21	P
USGS	11312676	2023-02-16 05:30	PST	1.21	P
USGS	11312676	2023-02-16 05:45	PST	1.21	P
USGS	11312676	2023-02-16 06:00	PST	1.21	P
USGS	11312676	2023-02-16 06:15	PST	1.21	P
USGS	11312676	2023-02-16 06:30	PST	1.21	P
USGS	11312676	2023-02-16 06:45	PST	1.21	P
USGS	11312676	2023-02-16 07:00	PST	1.22	P
USGS	11312676	2023-02-16 07:15	PST	1.22	P
USGS	11312676	2023-02-16 07:30	PST	1.22	P
USGS	11312676	2023-02-16 07:45	PST	1.23	P
USGS	11312676	2023-02-16 08:00	PST	1.24	P
USGS	11312676	2023-02-16 08:15	PST	1.21	P
USGS	11312676	2023-02-16 08:30	PST	1.20	P
USGS	11312676	2023-02-16 08:45	PST	1.20	P
USGS	11312676	2023-02-16 09:00	PST	1.20	P
USGS	11312676	2023-02-16 09:15	PST	1.19	P
USGS	11312676	2023-02-16 09:30	PST	1.19	P
USGS	11312676	2023-02-16 09:45	PST	1.18	P
USGS	11312676	2023-02-16 10:00	PST	1.18	P
USGS	11312676	2023-02-16 10:15	PST	1.19	P
USGS	11312676	2023-02-16 10:30	PST	1.18	P
USGS	11312676	2023-02-16 10:45	PST	1.17	P
USGS	11312676	2023-02-16 11:00	PST	0.02	P
USGS	11312676	2023-02-16 11:15	PST	0.01	P:<
